,SeniorCitizen,tenure,MonthlyCharges,genderdummies,Dependentsdummi,PhoneServicedmi,internetservice,DeviceProtection,TechSupport,CableService,oneyear,twoyear,PaperlessBilling,Credit card (automatic),Electronic check,Mailed check,Churn,TotalCharges
45,0,49,84.5,0,0,1,1,0,0,1,0,0,1,0,1,0,0,3906.7
46,0,2,49.25,1,0,1,1,0,0,0,0,0,0,0,0,1,0,97.0
47,0,2,80.65,0,0,1,1,0,0,1,0,0,1,0,1,0,1,144.15
48,0,52,79.75,1,0,1,1,0,1,1,0,1,1,1,0,0,0,4217.8
49,0,69,64.15,0,1,1,1,1,1,0,0,1,1,1,0,0,0,4254.1
50,1,43,90.25,0,0,1,1,0,0,1,0,0,1,0,1,0,0,3838.75
51,0,15,99.1,0,0,1,1,0,0,1,0,0,1,1,0,0,1,1426.4
52,1,25,69.5,0,0,1,1,0,1,1,0,0,1,1,0,0,0,1752.65
53,1,8,80.65,0,0,1,1,0,0,0,0,0,1,1,0,0,1,633.3
54,1,60,74.85,0,1,1,1,1,1,1,1,0,1,1,0,0,0,4456.35
55,1,18,95.45,1,0,1,1,0,0,1,0,0,1,0,1,0,1,1752.55
56,0,63,99.65,0,1,1,1,0,0,1,1,0,1,1,0,0,0,6311.2
57,1,66,108.45,1,1,1,1,1,1,1,1,0,1,0,1,0,0,7076.35
58,0,34,24.95,0,1,1,0,0,0,0,0,1,0,1,0,0,0,894.3
59,0,72,107.5,0,0,1,1,1,1,1,0,1,1,1,0,0,0,7853.7
60,0,47,100.5,0,0,1,1,1,0,1,0,0,1,0,1,0,0,4707.1
61,0,60,89.9,1,0,1,1,0,0,1,0,0,1,0,0,0,0,5450.7
62,0,72,42.1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,2962.0
63,0,18,54.4,0,1,1,1,1,1,0,1,0,1,1,0,0,0,957.1
64,0,9,94.4,0,0,1,1,0,0,1,0,0,0,0,1,0,1,857.25
65,0,3,75.3,0,0,1,1,0,1,1,0,0,1,0,1,0,0,244.1
66,0,47,78.9,1,0,1,1,0,0,0,1,0,1,0,1,0,0,3650.35
67,0,31,79.2,0,0,1,1,1,1,1,0,1,0,0,0,1,0,2497.2
68,0,50,20.15,0,1,1,0,0,0,0,0,1,0,0,0,0,0,930.9
69,0,10,79.85,1,0,1,1,1,0,0,0,0,1,0,0,1,0,887.35
70,0,1,49.05,1,0,1,1,0,1,0,0,0,0,0,0,1,0,49.05
71,0,52,20.4,0,1,1,0,0,0,0,1,0,1,0,1,0,0,1090.65
72,1,64,111.6,1,1,1,1,1,1,1,0,1,1,0,0,0,0,7099.0
73,0,62,24.25,1,1,1,0,0,0,0,0,1,1,0,0,0,0,1424.6
74,0,3,64.5,0,1,1,1,0,1,1,0,0,1,0,0,0,0,177.4
75,1,56,110.5,0,0,1,1,1,0,1,1,0,0,0,1,0,0,6139.5
76,0,46,55.65,0,0,1,1,0,0,1,1,0,0,1,0,0,0,2688.85
77,0,8,54.65,0,1,1,1,0,0,0,0,0,0,0,0,1,0,482.25
78,1,30,74.75,1,0,1,1,0,0,1,0,0,1,0,1,0,0,2111.3
79,0,45,25.9,0,1,1,0,0,0,0,1,0,1,1,0,0,0,1216.6
80,0,1,79.35,0,1,1,1,0,0,1,0,0,1,0,1,0,1,79.35
81,0,11,50.55,0,1,0,1,0,0,1,0,0,0,0,1,0,0,565.35
82,0,7,75.15,0,0,1,1,1,0,0,0,0,1,0,0,0,1,496.9
83,0,42,103.8,0,0,1,1,1,1,1,0,0,1,0,0,0,0,4327.5
84,0,49,20.15,0,0,1,0,0,0,0,0,1,1,0,0,0,0,973.35
85,0,9,99.3,1,0,1,1,0,0,1,0,0,1,1,0,0,0,918.75
86,0,35,62.15,0,0,1,1,0,0,1,1,0,1,0,0,0,0,2215.45
87,0,48,20.65,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1057.0
88,0,46,19.95,0,1,1,0,0,0,0,0,1,1,0,0,1,0,927.1
89,0,29,33.75,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1009.25
90,0,30,82.05,1,1,1,1,1,0,0,0,0,0,0,0,0,0,2570.2
91,1,1,74.7,1,0,1,1,0,1,0,0,0,0,0,1,0,0,74.7
92,0,66,84.0,1,1,1,1,1,1,1,0,1,1,0,0,1,0,5714.25
93,0,65,111.05,0,0,1,1,1,0,1,0,0,1,1,0,0,0,7107.0
94,0,72,100.9,1,0,1,1,1,0,1,0,1,1,0,0,0,0,7459.05
95,0,12,78.95,0,0,1,1,0,0,0,0,0,1,0,1,0,1,927.35
96,0,71,66.85,1,1,1,1,0,1,0,1,0,1,1,0,0,0,4748.7
97,0,5,21.05,1,0,1,0,0,0,0,0,0,0,0,0,1,1,113.85
98,0,52,21.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1107.2
99,1,25,98.5,0,0,1,1,1,0,1,0,0,1,0,1,0,1,2514.5
100,0,1,20.2,1,0,1,0,0,0,0,0,0,0,0,0,1,0,20.2
101,0,1,19.45,0,1,1,0,0,0,0,0,0,0,0,1,0,0,19.45
102,0,38,95.0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,3605.6
103,1,66,45.55,0,0,0,1,1,0,1,1,0,0,0,0,0,0,3027.25
104,0,68,110.0,1,0,1,1,1,1,1,0,1,1,0,0,0,1,7611.85
105,0,5,24.3,1,0,0,1,0,0,0,0,0,0,0,0,1,0,100.2
106,0,72,104.15,0,1,1,1,0,0,1,1,0,1,0,1,0,0,7303.05
107,0,32,30.15,0,0,0,1,0,0,0,1,0,0,0,0,1,0,927.65
108,0,43,94.35,1,0,1,1,0,0,1,1,0,0,0,0,1,0,3921.3
109,0,72,19.4,1,1,1,0,0,0,0,0,1,0,1,0,0,0,1363.25
110,0,55,96.75,1,0,1,1,0,0,1,0,0,1,0,1,0,1,5238.9
111,0,52,57.95,0,0,1,1,1,1,0,1,0,0,1,0,0,0,3042.25
112,0,43,91.65,0,0,1,1,1,0,1,0,0,1,0,1,0,0,3954.1
113,1,37,76.5,0,0,1,1,0,0,0,0,0,1,0,1,0,1,2868.15
114,0,64,54.6,0,1,0,1,0,1,1,0,1,1,0,1,0,0,3423.5
115,0,3,89.85,1,1,1,1,0,0,1,0,0,0,0,1,0,0,248.4
116,0,36,31.05,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1126.35
117,0,10,100.25,0,1,1,1,0,0,1,0,0,1,0,1,0,1,1064.65
118,0,41,20.65,0,0,1,0,0,0,0,0,1,0,0,0,1,0,835.15
119,0,27,85.2,1,1,1,1,0,1,0,0,0,1,1,0,0,0,2151.6
120,0,56,99.8,0,1,1,1,1,0,1,1,0,1,1,0,0,0,5515.45
121,0,6,20.7,0,0,1,0,0,0,0,0,0,0,0,0,1,0,112.75
122,0,3,74.4,1,0,1,1,0,0,0,0,0,1,0,1,0,1,229.55
123,0,7,50.7,0,1,1,1,0,0,0,0,0,0,0,0,1,0,350.35
124,0,4,20.85,0,1,1,0,0,0,0,0,0,0,0,0,1,0,62.9
125,0,33,88.95,1,0,1,1,0,1,1,0,1,1,0,1,0,0,3027.65
126,1,27,78.05,0,0,1,1,1,0,0,0,0,1,0,1,0,1,2135.5
127,0,72,23.55,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1723.95
128,0,1,19.75,1,0,1,0,0,0,0,0,0,0,0,0,1,0,19.75
129,1,71,56.45,1,0,0,1,0,0,1,1,0,1,0,1,0,0,3985.35
130,0,13,85.95,0,0,1,1,0,0,1,0,0,1,0,1,0,0,1215.65
131,0,25,58.6,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1502.65
132,0,67,50.55,1,0,1,1,0,1,0,0,1,0,0,0,0,0,3260.1
133,0,1,35.45,1,0,0,1,0,0,1,0,0,1,0,1,0,1,35.45
134,0,2,44.35,1,0,1,1,0,0,0,0,0,0,0,1,0,1,81.25
135,0,43,25.7,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1188.2
136,0,23,75.0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1778.5
137,0,64,20.2,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1277.75
138,0,57,19.6,1,1,1,0,0,0,0,0,1,1,0,0,1,0,1170.55
139,1,1,70.45,0,0,1,1,0,0,0,0,0,1,0,0,1,1,70.45
140,1,72,88.05,0,1,1,1,1,1,1,0,1,1,1,0,0,0,6425.65
141,0,8,71.15,0,0,1,1,0,1,1,0,0,0,0,1,0,1,563.65
142,0,61,101.05,0,0,1,1,0,0,1,0,1,1,0,0,0,0,5971.25
143,0,64,84.3,1,0,1,1,0,0,0,1,0,1,1,0,0,0,5289.05
144,1,71,23.95,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1756.2
145,0,65,99.05,0,1,1,1,0,1,1,0,1,1,1,0,0,0,6416.7
146,0,3,19.6,1,0,1,0,0,0,0,1,0,0,0,0,1,0,61.35
147,0,1,45.65,1,0,1,1,0,0,0,0,0,1,0,1,0,1,45.65
148,0,30,64.5,1,1,1,1,1,0,1,1,0,0,1,0,0,0,1929.95
149,0,15,69.5,1,1,1,1,1,1,1,0,0,1,0,0,1,0,1071.4
150,0,8,68.55,0,1,1,1,0,1,1,0,0,1,0,1,0,0,564.35
151,0,7,95.0,1,0,1,1,0,0,1,0,0,0,0,0,1,1,655.5
152,0,70,108.15,0,1,1,1,1,0,1,1,0,1,1,0,0,0,7930.55
153,0,62,86.1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,5215.25
154,0,6,19.7,0,1,1,0,0,0,0,0,0,0,0,0,1,0,113.5
155,0,14,80.9,0,1,1,1,0,0,1,0,0,1,0,0,0,0,1152.8
156,0,22,84.15,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1821.95
157,0,22,20.15,1,1,1,0,0,0,0,1,0,0,0,0,1,0,419.9
158,0,16,64.25,1,1,1,1,1,0,1,0,1,0,0,0,1,0,1024.0
159,0,10,25.7,1,0,1,0,0,0,0,0,1,0,0,0,0,0,251.6
160,0,13,56.0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,764.55
161,0,20,82.4,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1592.35
162,0,2,69.7,0,0,1,1,0,0,0,0,0,1,0,1,0,0,135.2
163,0,53,73.9,1,0,1,1,1,1,1,0,1,1,0,0,0,0,3958.25
164,0,11,20.6,0,1,1,0,0,0,0,1,0,0,0,0,1,0,233.9
165,0,69,19.9,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1363.45
166,0,4,70.9,0,0,1,1,0,0,0,0,0,1,0,0,0,1,273.0
167,0,72,89.05,1,0,1,1,1,1,1,0,1,1,0,0,0,0,6254.45
168,1,58,45.3,1,0,0,1,1,0,1,0,0,1,0,1,0,1,2651.2
169,0,16,20.4,0,1,1,0,0,0,0,0,0,0,0,1,0,0,321.4
170,0,43,84.25,1,0,1,1,1,1,0,1,0,1,0,0,0,0,3539.25
171,0,2,104.4,0,0,1,1,1,1,1,0,0,1,0,1,0,1,242.8
172,0,14,81.95,1,0,1,1,1,1,1,0,1,0,0,0,1,0,1181.75
173,0,53,94.85,0,0,1,1,1,0,1,1,0,1,0,0,0,1,5000.2
174,0,32,20.55,0,0,1,0,0,0,0,1,0,0,0,0,0,0,654.55
175,0,34,24.7,0,0,1,0,0,0,0,0,0,0,0,1,0,0,780.2
176,1,15,74.45,0,0,1,1,0,0,0,0,0,1,0,0,1,1,1145.7
177,1,7,76.45,0,0,1,1,0,0,0,0,0,0,0,0,0,1,503.6
178,0,15,105.35,0,1,1,1,1,0,1,0,0,1,0,0,0,0,1559.25
179,0,61,20.55,1,0,1,0,0,0,0,1,0,1,1,0,0,0,1252.0
180,0,1,29.95,0,0,0,1,0,0,0,0,0,0,0,0,0,1,29.95
181,0,1,45.3,0,0,1,1,0,0,0,0,0,0,0,0,1,0,45.3
182,0,8,84.5,1,0,1,1,0,0,1,0,0,0,0,0,0,1,662.65
183,0,33,74.75,1,1,1,1,1,0,1,1,0,0,1,0,0,0,2453.3
184,0,13,79.25,0,0,1,1,1,0,0,0,0,1,0,1,0,1,1111.65
185,0,1,24.8,0,0,0,1,0,0,0,0,0,1,0,1,0,1,24.8
186,0,20,51.8,1,0,1,1,0,0,0,0,0,1,0,0,1,0,1023.85
187,0,3,30.4,1,0,0,1,0,1,0,0,0,0,0,1,0,0,82.15
188,0,13,19.65,0,0,1,0,0,0,0,1,0,0,0,1,0,0,244.8
189,0,40,56.6,0,0,1,1,0,0,0,0,0,0,1,0,0,0,2379.1
190,0,43,71.9,1,1,1,1,0,1,1,1,0,1,1,0,0,0,3173.35
191,0,6,91.0,1,0,1,1,1,0,1,0,0,1,0,1,0,1,531.0
192,0,69,19.75,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1375.4
193,0,72,109.7,0,1,1,1,1,0,1,0,1,0,1,0,0,0,8129.3
194,0,59,19.3,1,1,1,0,0,0,0,0,1,0,1,0,0,0,1192.7
195,0,20,96.55,0,0,1,1,0,1,1,0,0,1,0,1,0,0,1901.65
196,0,24,24.1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,587.4
197,0,59,111.35,1,0,1,1,1,1,1,0,0,1,0,1,0,0,6519.75
198,0,72,112.25,1,1,1,1,1,1,1,0,1,1,0,0,0,0,8041.65
199,0,1,20.75,1,1,1,0,0,0,0,0,0,0,0,0,1,0,20.75
200,0,27,101.9,0,0,1,1,0,1,1,1,0,1,1,0,0,0,2681.15
201,0,14,80.05,0,0,1,1,0,1,0,0,0,1,1,0,0,0,1112.3
202,0,71,105.55,1,1,1,1,1,0,1,0,1,0,0,1,0,0,7405.5
203,0,13,78.3,1,1,1,1,0,0,1,0,0,1,1,0,0,0,1033.95
204,0,44,68.85,1,0,1,1,0,0,0,0,0,0,1,0,0,0,2958.95
205,0,33,79.95,0,0,1,1,0,1,0,1,0,1,0,0,0,0,2684.85
206,0,72,55.45,1,1,0,1,1,1,1,0,1,1,1,0,0,0,4179.2
207,0,1,79.9,1,0,1,1,0,0,1,0,0,0,0,1,0,1,79.9
208,0,19,106.6,0,0,1,1,1,1,1,0,0,1,0,1,0,1,1934.45
209,0,64,102.45,1,0,1,1,1,1,1,1,0,1,1,0,0,0,6654.1
210,0,2,46.0,1,0,1,1,0,0,0,0,0,1,1,0,0,1,84.5
211,0,1,25.25,0,0,0,1,0,0,0,0,0,0,0,1,0,0,25.25
212,0,61,19.75,1,1,1,0,0,0,0,0,1,0,0,0,1,0,1124.2
213,0,29,20.0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,540.05
214,1,23,86.8,1,0,1,1,0,0,1,0,0,0,0,1,0,0,1975.85
215,0,57,58.75,0,0,0,1,1,0,1,0,0,1,0,0,0,0,3437.45
216,0,72,45.25,1,1,0,1,1,1,0,0,1,0,1,0,0,0,3139.8
217,0,66,56.6,1,0,0,1,1,1,1,0,1,1,0,0,0,0,3789.2
218,0,65,84.2,1,1,1,1,1,1,1,0,1,1,0,0,0,0,5324.5
219,0,8,80.0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,624.6
220,0,4,70.15,0,0,1,1,0,0,0,0,0,1,0,1,0,1,268.35
221,0,71,24.75,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1836.9
222,0,1,20.2,1,1,1,0,0,0,0,1,0,1,0,1,0,0,20.2
223,0,4,50.05,1,0,1,1,0,1,0,0,0,0,0,0,1,1,179.35
224,0,12,19.35,0,0,1,0,0,0,0,1,0,1,0,0,0,0,219.35
225,0,24,50.6,1,0,0,1,0,0,1,1,0,1,0,0,1,0,1288.75
226,0,31,81.15,0,1,1,1,1,1,1,1,0,1,0,0,1,0,2545.75
227,0,1,55.2,0,0,1,1,0,0,1,0,0,0,0,0,1,1,55.2
228,0,30,89.9,1,0,1,1,0,1,1,0,0,1,1,0,0,0,2723.15
229,0,47,85.3,0,1,1,1,0,1,1,0,1,1,1,0,0,0,4107.25
230,0,54,108.0,1,0,1,1,0,1,1,0,1,1,1,0,0,0,5760.65
231,0,50,93.5,1,0,1,1,0,1,1,0,0,1,1,0,0,0,4747.5
232,0,1,84.6,1,0,1,1,0,0,1,0,0,1,0,0,1,1,84.6
233,0,72,20.25,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1566.9
234,0,29,25.15,0,0,1,0,0,0,0,0,0,0,0,1,0,0,702.0
235,0,2,54.4,1,0,1,1,0,0,0,0,0,1,0,0,1,1,114.1
236,0,10,29.6,0,0,0,1,0,1,0,0,1,1,0,0,1,0,299.05
237,0,18,73.15,1,0,1,1,0,0,0,0,0,1,0,1,0,0,1305.95
238,1,11,95.0,0,0,1,1,0,0,1,0,0,1,0,1,0,1,1120.3
239,0,16,19.75,1,0,1,0,0,0,0,0,1,0,0,0,1,0,284.35
240,0,72,86.6,0,0,1,1,1,1,1,0,1,0,0,0,0,0,6350.5
241,0,72,109.2,1,0,1,1,1,1,1,0,1,0,0,0,0,0,7878.3
242,0,41,74.7,0,1,1,1,0,1,1,1,0,1,1,0,0,0,3187.65
243,1,65,94.4,0,0,1,1,1,0,1,0,0,0,0,1,0,0,6126.15
244,1,13,54.8,0,0,1,1,1,0,0,0,0,1,0,1,0,0,731.3
245,1,4,75.35,1,0,1,1,0,0,0,0,0,0,0,1,0,0,273.4
246,0,41,65.0,1,0,1,1,1,0,1,1,0,0,0,0,1,0,2531.8
247,1,15,74.4,1,0,1,1,0,0,0,0,0,1,0,1,0,1,1074.3
248,0,1,48.55,1,0,1,1,0,0,0,0,0,1,0,0,1,1,48.55
249,0,42,99.0,1,0,1,1,1,0,1,1,0,1,0,1,0,0,4298.45
250,0,51,93.5,0,0,1,1,1,0,1,1,0,1,0,1,0,0,4619.55
251,0,2,70.4,0,1,1,1,0,0,0,0,0,0,0,1,0,1,147.15
252,1,1,40.2,1,0,0,1,0,0,1,0,0,0,0,1,0,1,40.2
253,0,32,83.7,1,1,1,1,1,1,1,1,0,0,1,0,0,0,2633.3
254,0,10,19.85,1,0,1,0,0,0,0,0,0,1,0,0,1,0,193.05
255,0,67,59.55,0,1,0,1,1,1,1,0,1,1,0,1,0,0,4103.9
256,0,61,115.1,0,1,1,1,1,1,1,0,1,0,1,0,0,0,7008.15
257,0,50,114.35,1,0,1,1,1,1,1,1,0,0,1,0,0,0,5791.1
258,0,2,44.6,0,0,1,1,0,0,0,0,0,1,1,0,0,1,80.55
259,1,29,45.0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,1228.65
260,1,3,41.15,1,0,0,1,1,0,1,0,0,1,0,1,0,1,132.2
261,1,13,106.9,1,0,1,1,1,0,1,0,0,1,0,1,0,1,1364.3
262,1,57,89.85,1,0,1,1,0,0,1,0,0,1,0,1,0,0,4925.35
263,0,31,49.85,0,0,0,1,0,1,1,0,1,1,0,0,0,0,1520.1
264,0,45,113.3,0,0,1,1,1,1,1,1,0,0,0,0,1,0,5032.25
265,0,61,88.1,0,1,1,1,1,1,1,0,1,0,0,0,1,0,5526.75
266,0,50,24.9,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1195.25
267,1,19,105.0,0,0,1,1,0,1,1,0,0,1,0,0,1,0,2007.25
268,0,59,19.35,1,0,1,0,0,0,0,0,1,0,0,0,1,1,1099.6
269,0,71,24.25,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1732.95
270,1,16,94.45,0,0,1,1,0,1,1,0,0,1,0,1,0,1,1511.2
271,0,57,59.75,1,0,1,1,0,1,0,0,1,1,0,1,0,0,3450.15
272,0,1,24.8,1,0,0,1,0,0,0,0,0,0,0,0,0,1,24.8
273,1,20,107.05,1,0,1,1,0,1,1,0,0,0,0,1,0,0,2172.05
274,0,1,70.6,1,0,1,1,0,0,0,0,0,0,0,0,1,1,70.6
275,0,5,85.4,1,0,1,1,0,1,0,0,0,1,0,1,0,1,401.1
276,0,52,105.05,0,0,1,1,1,0,1,0,0,1,0,1,0,1,5624.85
277,1,21,64.95,1,0,1,1,0,0,1,0,0,1,0,0,0,0,1339.8
278,0,14,55.0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,771.95
279,0,5,50.55,0,0,1,1,0,0,0,0,0,0,0,0,0,0,244.75
280,0,6,55.15,0,0,1,1,0,0,0,0,0,0,0,0,1,0,322.9
281,0,10,51.2,0,0,1,1,0,0,0,0,0,0,0,1,0,0,498.25
282,0,1,25.4,0,1,1,0,0,0,0,0,0,0,0,0,1,0,25.4
283,0,68,54.45,0,0,1,1,0,0,0,0,0,0,0,0,1,0,3687.75
284,0,18,95.15,1,1,1,1,1,0,1,0,0,0,0,0,1,1,1779.95
285,0,22,76.0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,1783.6
286,0,20,44.35,0,0,1,1,0,0,0,0,0,1,0,1,0,0,927.15
287,0,1,70.0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,70.0
288,1,8,74.5,1,0,1,1,0,0,0,0,0,1,0,1,0,1,606.55
289,0,10,44.85,1,0,1,1,0,0,0,0,0,1,1,0,0,1,435.4
290,1,24,76.1,1,0,1,1,0,0,0,0,0,1,0,1,0,1,1712.7
291,0,35,61.2,1,0,1,1,1,0,0,1,0,0,0,0,1,0,2021.2
292,0,23,86.8,1,1,1,1,1,1,0,1,0,0,0,0,1,0,1940.8
293,1,6,89.35,0,0,1,1,0,0,1,0,0,1,0,1,0,0,567.8
294,0,12,19.7,0,0,1,0,0,0,0,0,0,0,0,0,1,0,220.35
295,0,1,20.25,1,0,1,0,0,0,0,0,0,0,0,0,1,0,20.25
296,0,71,76.05,0,1,1,1,1,0,0,0,1,0,0,1,0,0,5436.45
297,1,35,100.8,1,0,1,1,1,0,1,0,0,1,0,1,0,0,3437.5
298,0,40,74.55,1,1,1,1,1,0,1,0,0,1,0,1,0,0,3015.75
299,0,1,73.6,0,1,1,1,0,0,0,0,0,1,0,0,1,1,73.6
300,0,23,64.9,1,0,1,1,0,0,1,1,0,1,0,0,0,0,1509.8
301,1,4,95.45,0,0,1,1,0,0,1,0,0,1,0,1,0,1,396.1
302,0,4,90.4,1,0,1,1,1,1,1,0,0,1,0,1,0,0,356.65
303,0,68,60.3,0,1,0,1,1,1,1,0,1,0,1,0,0,0,4109.0
304,0,38,81.85,1,1,1,1,0,0,0,0,0,1,0,0,1,0,3141.7
305,0,52,24.8,1,1,1,0,0,0,0,0,1,0,0,0,1,0,1229.1
306,1,32,74.9,1,0,1,1,0,0,0,0,0,1,0,1,0,1,2303.35
307,0,29,75.55,1,1,1,1,1,1,1,0,1,0,0,0,1,0,2054.4
308,1,38,101.15,1,1,1,1,0,0,1,0,0,0,0,1,0,0,3741.85
309,0,48,78.75,1,1,1,1,1,0,1,1,0,1,1,0,0,0,3682.45
310,0,1,19.25,0,0,1,0,0,0,0,0,0,1,0,0,0,0,19.25
311,0,22,89.05,0,0,1,1,0,1,1,0,0,1,0,1,0,0,1886.25
312,0,43,115.05,0,0,1,1,1,1,1,0,1,0,1,0,0,0,4895.1
313,1,5,69.35,0,0,1,1,0,0,0,0,0,1,0,1,0,0,341.6
314,0,5,80.6,1,0,1,1,0,0,1,0,0,1,0,1,0,1,415.55
315,0,51,110.05,1,1,1,1,0,1,1,1,0,0,1,0,0,0,5686.4
316,0,71,19.9,1,0,1,0,0,0,0,0,1,1,1,0,0,0,1355.1
317,0,38,80.3,0,1,1,1,0,1,1,1,0,0,1,0,0,1,3058.65
318,1,24,93.15,1,0,1,1,1,0,1,0,0,1,0,1,0,1,2231.05
319,0,35,91.5,1,0,1,1,0,1,1,0,0,1,1,0,0,0,3236.35
320,1,54,82.45,0,0,1,1,0,1,1,1,0,0,0,0,0,1,4350.1
321,0,72,60.0,0,1,0,1,1,1,1,0,1,1,0,1,0,0,4264.0
